Licensee,City,State,Call,Frequency,Channel,Non-Directional?,Class,Status,File Number,Effective Radiated Power (Horizontal),Effective Radiated Power (Vertical),Antenna Height Above Average Terrain (Horizontal),Antenna Height Above Average Terrain (Vertical),Facility ID,lat_d,lat_deg,lat_min,lat_sec,lng_d,lng_deg,lng_min,lng_sec,Antenna Height Above Mean Sea Level (Horizontal),Antenna Height Above Mean Sea Level (Vertical),Antenna ID #,Pattern Rotation,ASRN,Antenna Height Above Ground Level,CDBS ID #
"AGM NEVADA, LLC                                                             ",BELEN                    ,NM ,KLVO        ,97.7  MHz ,249,ND  ,C1 ,LIC    ,BMLH   -20020724AAQ ,100.   kW ,100.   kW ,262,262,25529,N ,34,47,55,W ,106,48,59,1826.  m,1826.0 m,-         ,-       ,1048511,162.   m,607586
"AMFM RADIO LICENSES, L.L.C.                                                 ",GARDEN CITY              ,SC ,WWXM        ,97.7  MHz ,249,ND  ,C1 ,LIC    ,BLH    -20020405AAA ,100.   kW ,100.   kW ,219,219,12181,N ,33,35,45,W ,79,3,11,221.   m,221.0  m,-         ,-       ,1046190,216.   m,599465
"PRAIRIE WINDS BROADCASTING, INC.                                            ",REDFIELD                 ,SD ,KNBZ        ,97.7  MHz ,249,ND  ,C1 ,LIC    ,BLH    -19990706KD  ,100.   kW ,100.   kW ,171,171,84240,N ,45,12,30,W ,98,40,20,574.   m,574.0  m,-         ,-       ,1018772,167.   m,286809
EDUCATIONAL MEDIA FOUNDATION                                                ,MCQUEENEY                ,TX ,KZAR        ,97.7  MHz ,249,ND  ,C1 ,LIC    ,BMLED  -20110826AAG ,100.   kW ,100.   kW ,299,299,25588,N ,29,22,11,W ,97,39,44,403.   m,403.0  m,-         ,-       ,1252281,297.   m,1438954
-                                                                           ,VANCOUVER                ,BC ,CBUFFM      ,97.7  MHz ,249,DA  ,C  ,OPER   ,-      --           ,100.   kW ,100.   kW ,567,567,95226,N ,49,21,12,W ,122,57,18,0.     m,0.0    m,-         ,0,-       ,0.     m,292436
"PHOENIX FCC LICENSE SUB, LLC                                                ",TEMPE                    ,AZ ,KUPD        ,97.9  MHz ,250,ND  ,C  ,LIC    ,BMLH   -20130820ABM ,100.   kW ,100.   kW ,494,494,65166,N ,33,19,58,W ,112,3,53,856.   m,856.0  m,-         ,-       ,1002361,59.    m,1568199
"CAMERON BROADCASTING, INC.                                                  ",NEEDLES                  ,CA ,KLUK        ,97.9  MHz ,250,ND  ,C  ,CP     ,BPH    -20130430ABE ,100.   kW ,100.   kW ,475,475,8385,N ,35,2,4,W ,114,22,12,1254.  m,1254.0 m,-         ,-       ,-       ,23.    m,1550855
"WINTON ROAD BROADCASTING CO., LLC                                           ",CORTEZ                   ,CO ,KISZ-FM     ,97.9  MHz ,250,ND  ,C  ,LIC    ,BLH    -19780921AG  ,100.   kW ,100.   kW ,399,399,54005,N ,37,21,48,W ,108,9,0,3104.  m,3104.0 m,-         ,-       ,-       ,32.    m,4530
PALM BEACH BROADCASTING LICENSE LLC                                         ,PALM BEACH               ,FL ,WRMF        ,97.9  MHz ,250,ND  ,C  ,LIC    ,BLH    -19850806KQ  ,100.   kW ,100.   kW ,411,411,20436,N ,26,34,37,W ,80,14,32,412.   m,412.0  m,-         ,-       ,-       ,412.   m,80803
"CITICASTERS LICENSES, INC.                                                  ",CLEARWATER               ,FL ,WXTB        ,97.9  MHz ,250,ND  ,C  ,LIC    ,BLH    -20090706AFW ,100.   kW ,100.   kW ,458,458,11274,N ,28,10,56,W ,82,46,6,461.   m,461.0  m,-         ,-       ,1246632,458.   m,1320638
"AMFM RADIO LICENSES, L.L.C.                                                 ",SIOUX CITY               ,IA ,KSEZ        ,97.9  MHz ,250,ND  ,C1 ,LIC    ,BLH    -19890313KB  ,100.   kW ,100.   kW ,196,196,10777,N ,42,28,56,W ,96,15,30,567.   m,567.0  m,-         ,-       ,-       ,183.   m,125866
MELIA COMMUNICATIONS INC                                                    ,COLBY                    ,KS ,KWGB        ,97.9  MHz ,250,ND  ,C1 ,LIC    ,BLH    -19981216KD  ,100.   kW ,100.   kW ,216,216,81915,N ,39,23,24,W ,101,33,35,1296.  m,1296.0 m,-         ,-       ,1033368,212.   m,279060
CAPSTAR TX LLC                                                              ,WICHITA                  ,KS ,KRBB        ,97.9  MHz ,250,ND  ,C0 ,LIC    ,BLH    -20060509ACI ,100.   kW ,100.   kW ,313,313,39902,N ,37,46,40,W ,97,30,37,733.   m,733.0  m,-         ,-       ,1026741,316.   m,1128924
RED ROCK RADIO CORP.                                                        ,EVELETH                  ,MN ,WEVE-FM     ,97.9  MHz ,250,DA  ,C1 ,LIC    ,BLH    -20080205AGD ,100.   kW ,100.   kW ,158,158,29194,N ,47,35,53,W ,92,13,26,608.1  m,608.1  m,81599,0,-       ,53.1   m,1231153
"DELTA RADIO NETWORK, LLC                                                    ",GREENVILLE               ,MS ,WLTM        ,97.9  MHz ,250,ND  ,C1 ,CP     ,BPH    -20110824ACH ,100.   kW ,100.   kW ,141,141,25229,N ,33,6,30,W ,91,1,30,170.   m,170.0  m,-         ,-       ,1281569,137.   m,1487563
"CCR-GREAT FALLS IV, LLC                                                     ",DUTTON                   ,MT ,KVVR        ,97.9  MHz ,250,ND  ,C1 ,LIC    ,BLH    -20010713AAQ ,100.   kW ,100.   kW ,218,218,84237,N ,47,36,52,W ,111,20,51,1308.  m,1308.0 m,-         ,-       ,1220645,138.   m,583484
UNIVERSITY OF NORTHWESTERN-ST. PAUL                                         ,FARGO                    ,ND ,KFNW-FM     ,97.9  MHz ,250,ND  ,C  ,LIC    ,BMLED  -20061220ACI ,100.   kW ,100.   kW ,305,305,49772,N ,47,0,36,W ,97,11,41,595.   m,595.0  m,-         ,-       ,1046928,308.   m,1163113
CAPSTAR TX LLC                                                              ,POTEAU                   ,OK ,KZBB        ,97.9  MHz ,250,ND  ,C  ,LIC    ,BLH    -6297        ,100.   kW ,100.   kW ,610,610,72715,N ,35,4,19,W ,94,40,46,784.   m,784.0  m,-         ,-       ,-       ,60.    m,296519
ADELANTE MEDIA OF EASTERN WASHINGTON LICENSE LLC                            ,MILTON-FREEWATER         ,OR ,KZTB        ,97.9  MHz ,250,DA  ,C1 ,LIC    ,BLH    -20060301ADA ,100.   kW ,100.   kW ,274,274,953,N ,45,47,41,W ,118,10,6,1403.  m,1403.0 m,71955,0,1065883,68.    m,1116918
BETHESDA CHRISTIAN BROADCASTING                                             ,RAPID CITY               ,SD ,KTPT        ,97.9  MHz ,250,ND  ,C  ,LIC    ,BLH    -20021106ABV ,100.   kW ,100.   kW ,579,579,21637,N ,44,19,42,W ,103,50,3,2290.  m,2290.0 m,-         ,-       ,1056646,169.   m,613486
CAPSTAR TX LLC                                                              ,NASHVILLE                ,TN ,WSIX-FM     ,97.9  MHz ,250,ND  ,C0 ,LIC    ,BMLH   -20050826ABB ,100.   kW ,100.   kW ,349,349,59815,N ,36,2,50,W ,86,49,48,550.   m,550.0  m,-         ,-       ,1035538,229.   m,1079605
"RADIO ONE LICENSES, LLC                                                     ",HOUSTON                  ,TX ,KBXX        ,97.9  MHz ,250,ND  ,C  ,LIC    ,BLH    -19831026AD  ,100.   kW ,100.   kW ,585,585,11969,N ,29,34,34,W ,95,30,36,605.   m,605.0  m,-         ,-       ,-       ,581.   m,62449
"MCC RADIO, LLC                                                              ",AMARILLO                 ,TX ,KGNC-FM     ,97.9  MHz ,250,ND  ,C  ,LIC    ,BLH    -20050418AAL ,100.   kW ,100.   kW ,398,398,63161,N ,35,18,53,W ,101,50,47,1441.  m,1441.0 m,-         ,-       ,1044248,385.   m,1054804
"TOWNSQUARE MEDIA ODESSA&#8208;MIDLAND II LICENSE, LLC                       ",ODESSA                   ,TX ,KODM        ,97.9  MHz ,250,ND  ,C1 ,LIC    ,BMLH   -20050324ADQ ,100.   kW ,100.   kW ,110,110,48435,N ,31,47,39,W ,102,10,42,975.   m,975.0  m,-         ,-       ,1061164,91.    m,1113673
"RADIO ONE LICENSES, LLC                                                     ",DALLAS                   ,TX ,KBFB        ,97.9  MHz ,250,ND  ,C  ,LIC    ,BLH    -20100721EEI ,100.   kW ,100.   kW ,574,574,9627,N ,32,35,2,W ,96,57,48,764.   m,764.0  m,-         ,-       ,1053452,515.   m,1390960
"MUZZY BROADCAST GROUP, LLC                                                  ",STEVENS POINT            ,WI ,WSPT        ,97.9  MHz ,250,ND  ,C1 ,LIC    ,BLH    -19961015KB  ,100.   kW ,100.   kW ,103,103,2104,N ,44,32,17,W ,89,35,43,436.   m,436.0  m,-         ,-       ,-       ,105.   m,234290
"CITICASTERS LICENSES, INC.                                                  ",CHEYENNE                 ,WY ,KXBG        ,97.9  MHz ,250,ND  ,C1 ,LIC    ,BLH    -19800229AD  ,100.   kW ,100.   kW ,165,165,7693,N ,41,6,1,W ,105,0,23,2174.  m,2174.0 m,-         ,-       ,-       ,107.   m,18159
"CITICASTERS LICENSES, INC.                                                  ",CHEYENNE                 ,WY ,KXBG        ,97.9  MHz ,250,ND  ,C1 ,CP     ,BPH    -19981207IC  ,100.   kW ,100.   kW ,247,247,7693,N ,40,53,42,W ,105,11,38,2197.  m,2197.0 m,-         ,-       ,1058302,143.   m,278162
"LEGEND COMMUNICATIONS OF WYOMING, LLC                                       ",CODY                     ,WY ,KTAG        ,97.9  MHz ,250,ND  ,C  ,LIC    ,BLH    -20010904AAI ,100.   kW ,100.   kW ,576,576,74354,N ,44,29,42,W ,109,9,10,2365.  m,2365.0 m,-         ,-       ,1213154,65.    m,577393
-                                                                           ,BRANDON                  ,MB ,CBWVFM      ,97.9  MHz ,250,ND  ,C  ,OPER   ,-      --           ,100.   kW ,100.   kW ,217,217,96202,N ,49,40,5,W ,100,0,40,0.     m,0.0    m,-         ,-       ,-       ,0.     m,298775
CAPSTAR TX LLC                                                              ,FAYETTE                  ,AL ,WTXT        ,98.1  MHz ,251,ND  ,C1 ,LIC    ,BLH    -20120823AAB ,100.   kW ,100.   kW ,274,274,68418,N ,33,19,20.9,W ,87,46,25.6,366.   m,366.0  m,-         ,-       ,1043853,247.   m,1512705
"WESTERN SLOPE COMMUNICATIONS, L.L.C.                                        ",MEEKER                   ,CO ,KAYW        ,98.1  MHz ,251,ND  ,C0 ,LIC    ,BLH    -20070802ABI ,100.   kW ,100.   kW ,349,349,84266,N ,40,11,45,W ,107,56,0,2609.  m,2609.0 m,-         ,-       ,-       ,18.    m,1196314
"APEX BROADCASTING, INC.                                                     ",HOLT                     ,FL ,WHWY        ,98.1  MHz ,251,ND  ,C1 ,LIC    ,BLH    -20050107ABQ ,100.   kW ,100.   kW ,147,147,56374,N ,30,24,38,W ,86,37,22,153.   m,153.0  m,-         ,-       ,1228891,148.   m,1038786
"RJ BROADCASTING LS, LLC                                                     ",REXBURG                  ,ID ,KGTM        ,98.1  MHz ,251,ND  ,C1 ,LIC    ,BLH    -20011127ABJ ,100.   kW ,100.   kW ,194,194,12665,N ,43,32,34,W ,111,53,7,1678.  m,1678.0 m,28426,-       ,-       ,49.    m,586500
"RJ BROADCASTING LS, LLC                                                     ",SHELLEY                  ,ID ,KQEZ        ,98.1  MHz ,251,ND  ,C1 ,CP     ,BPH    -20130626ABJ ,100.   kW ,100.   kW ,194,194,73616,N ,43,32,34,W ,111,53,7,1741.  m,1741.0 m,-         ,-       ,-       ,49.    m,1560903
"TOWNSQUARE MEDIA CEDAR RAPIDS LICENSE, LLC                                  ",CEDAR RAPIDS             ,IA ,KHAK        ,98.1  MHz ,251,ND  ,C1 ,LIC    ,BLH    -19790823AG  ,100.   kW ,100.   kW ,140,140,54163,N ,41,55,28,W ,91,36,55,382.   m,382.0  m,-         ,-       ,-       ,128.   m,13187
"ENTERCOM LICENSE, LLC                                                       ",KANSAS CITY              ,KS ,KMBZ-FM     ,98.1  MHz ,251,ND  ,C0 ,LIC    ,BLH    -20030423AAV ,100.   kW ,100.   kW ,335,335,2449,N ,39,1,20,W ,94,30,49,611.   m,611.0  m,-         ,-       ,1064715,341.   m,658407
KBUF PARTNERSHIP                                                            ,COPELAND                 ,KS ,KSKZ        ,98.1  MHz ,251,ND  ,C1 ,LIC    ,BMLH   -20110621ABP ,100.   kW ,100.   kW ,203,203,60873,N ,37,46,48,W ,100,27,36,1034.  m,1034.0 m,-         ,-       ,1033303,200.   m,1432722
"CITICASTERS LICENSES, INC.                                                  ",LEXINGTON                ,KY ,WBUL-FM     ,98.1  MHz ,251,ND  ,C1 ,LIC    ,BMLH   -20031218ACF ,100.   kW ,100.   kW ,171,171,70192,N ,38,2,7,W ,84,27,2,467.   m,467.0  m,-         ,-       ,1036781,141.   m,711674
"GUARANTY BROADCASTING COMPANY OF BATON ROUGE, LLC                           ",BATON ROUGE              ,LA ,WDGL        ,98.1  MHz ,251,ND  ,C  ,LIC    ,BLH    -19851122KD  ,100.   kW ,100.   kW ,457,457,25518,N ,30,21,58,W ,91,12,47,464.   m,464.0  m,-         ,-       ,-       ,458.   m,83681
"GUARANTY BROADCASTING COMPANY OF BATON ROUGE, LLC                           ",BATON ROUGE              ,LA ,WDGL        ,98.1  MHz ,251,ND  ,C  ,CP     ,BPH    -20121101ADP ,100.   kW ,100.   kW ,459,459,25518,N ,30,21,58,W ,91,12,47,465.   m,465.0  m,-         ,-       ,1020497,458.   m,1519864
"TOWNSQUARE MEDIA LICENSEE OF ST. CLOUD, INC.                                ",ST. CLOUD                ,MN ,WWJO        ,98.1  MHz ,251,ND  ,C0 ,LIC    ,BLH    -19890117KF  ,100.   kW ,100.   kW ,305,305,73145,N ,45,48,52,W ,94,1,38,669.   m,669.0  m,-         ,-       ,1023851,282.   m,122666
"NRG LICENSE SUB, LLC                                                        ",MILFORD                  ,NE ,KFGE        ,98.1  MHz ,251,ND  ,C1 ,LIC    ,BLH    -19960722KE  ,100.   kW ,100.   kW ,299,299,6490,N ,40,51,52,W ,97,16,14,766.   m,766.0  m,-         ,-       ,-       ,290.   m,229415
"HUTTON BROADCASTING, LLC                                                    ",LAS VEGAS                ,NM ,KBAC        ,98.1  MHz ,251,ND  ,C  ,LIC    ,BLH    -19891030KE  ,100.   kW ,100.   kW ,316,316,40639,N ,35,22,20,W ,105,22,2,2246.  m,2246.0 m,-         ,-       ,-       ,105.   m,134940
CUMULUS LICENSING LLC                                                       ,FAYETTEVILLE             ,NC ,WQSM        ,98.1  MHz ,251,ND  ,C1 ,LIC    ,BLH    -19871125KA  ,100.   kW ,100.   kW ,253,253,8582,N ,35,4,46,W ,78,55,58,307.   m,307.0  m,-         ,-       ,-       ,237.   m,107137
"SYNERGY BROADCAST NORTH DAKOTA, LLC                                         ",NEW ENGLAND              ,ND ,KLTQ        ,98.1  MHz ,251,ND  ,C1 ,CP     ,BPH    -20120727AID ,100.   kW ,100.   kW ,142,142,166059,N ,46,36,56.97,W ,102,46,46.38,964.3  m,964.3  m,-         ,-       ,1208544,83.4   m,1509558
"SM-WHZT, LLC                                                                ",WILLIAMSTON              ,SC ,WHZT        ,98.1  MHz ,251,ND  ,C0 ,LIC    ,BLH    -20120905ACG ,100.   kW ,100.   kW ,304,304,5971,N ,34,41,15,W ,82,59,13,554.   m,554.0  m,-         ,-       ,1025920,265.   m,1512504
"RADIO LICENSE HOLDING CBC, LLC                                              ",MILLINGTON               ,TN ,WXMX        ,98.1  MHz ,251,ND  ,C1 ,LIC    ,BLH    -20001018ACK ,100.   kW ,100.   kW ,265,265,35399,N ,35,9,16,W ,89,49,20,358.   m,358.0  m,-         ,-       ,1054292,256.   m,532894
ENCARNACION A. GUERRA                                                       ,LAREDO                   ,TX ,KRRG        ,98.1  MHz ,251,ND  ,C1 ,LIC    ,BLH    -19821108BB  ,100.   kW ,100.   kW ,213,213,19544,N ,27,31,14,W ,99,31,19,362.   m,362.0  m,-         ,-       ,-       ,236.   m,48848
ACCESS.1 LOUISIANA HOLDING COMPANY LLC                                      ,TEXARKANA                ,TX ,KTAL-FM     ,98.1  MHz ,251,ND  ,C0 ,LIC    ,BMLH   -20110418ABH ,100.   kW ,100.   kW ,415,415,33728,N ,32,54,11,W ,94,0,20,486.   m,486.0  m,-         ,-       ,1025912,396.   m,1423772
CUMULUS LICENSING LLC                                                       ,BENTONVILLE              ,AR ,KKEG        ,98.3  MHz ,252,DA  ,C1 ,LIC    ,BLH    -19960813KA  ,100.   kW ,100.   kW ,188,188,16571,N ,36,7,38,W ,93,59,23,588.   m,588.0  m,14551,0,-       ,137.   m,230968
"MEDIA LOGIC, LLC                                                            ",OTIS                     ,CO ,KATR-FM     ,98.3  MHz ,252,ND  ,C1 ,LIC    ,BLH    -19991115AAT ,100.   kW ,100.   kW ,169,169,48397,N ,40,25,13,W ,102,58,10,1500.  m,1500.0 m,29891,-       ,1056507,131.   m,423372
LICENSE CORPORATION #2                                                      ,GOULDS                   ,FL ,WRTO-FM     ,98.3  MHz ,252,ND  ,C0 ,LIC    ,BLH    -19920311KD  ,100.   kW ,100.   kW ,429,429,37253,N ,25,32,24,W ,80,28,7,429.   m,429.0  m,-         ,-       ,1024985,427.   m,171507
ALPHA MEDIA LICENSEE LLC                                                    ,MIDWAY                   ,GA ,WGCO        ,98.3  MHz ,252,ND  ,C1 ,LIC    ,BLH    -19900104KA  ,100.   kW ,100.   kW ,299,299,11674,N ,31,36,45,W ,81,21,37,302.   m,302.0  m,-         ,-       ,-       ,297.   m,143467
"TOWNSQUARE MEDIA TWIN FALLS LICENSE, LLC                                    ",TWIN FALLS               ,ID ,KSNQ        ,98.3  MHz ,252,ND  ,C1 ,LIC    ,BLH    -20091208ABK ,100.   kW ,100.   kW ,198,198,87843,N ,42,43,42,W ,114,24,48,1370.  m,1370.0 m,-         ,-       ,1044067,64.    m,1345659
"SUN MEDIA, INC.                                                             ",METROPOLIS               ,IL ,WJLI        ,98.3  MHz ,252,ND  ,C1 ,LIC    ,BLH    -20030609ADV ,100.   kW ,100.   kW ,213,213,63817,N ,36,45,9,W ,88,29,58,358.   m,358.0  m,-         ,-       ,1018328,201.   m,666624
"R.P. BROADCASTING, INC.                                                     ",BLACKDUCK                ,MN ,WBJI        ,98.3  MHz ,252,ND  ,C1 ,LIC    ,BLH    -20030825AFY ,100.   kW ,100.   kW ,146,146,54436,N ,47,33,21,W ,94,48,4,565.7  m,565.7  m,-         ,-       ,1024705,136.   m,732555
"TWO RIVERS BROADCASTING, INC.                                               ",CARRINGTON               ,ND ,KXGT        ,98.3  MHz ,252,ND  ,C1 ,LIC    ,BLH    -19961118KB  ,100.   kW ,100.   kW ,264,264,68625,N ,47,5,38,W ,99,2,11,782.   m,782.0  m,-         ,-       ,1011854,203.   m,235594
"SAGA COMMUNICATIONS OF SOUTH DAKOTA, LLC                                    ",ETHAN                    ,SD ,KUQL        ,98.3  MHz ,252,ND  ,C1 ,LIC    ,BLH    -20090617ACE ,100.   kW ,100.   kW ,273,273,42113,N ,43,45,33,W ,98,24,44,714.   m,714.0  m,-         ,-       ,1042105,280.   m,1315657
"TEJAS BROADCASTING LTD., LLP                                                ",ODEM                     ,TX ,KMJR        ,98.3  MHz ,252,DA  ,C1 ,LIC    ,BLH    -20140703AAL ,100.   kW ,100.   kW ,247,247,12170,N ,28,2,7,W ,97,26,11,261.   m,261.0  m,111261,0,1060584,247.   m,1636367
"CHRIS SAMPLES BROADCASTING, INC.                                            ",SPEARMAN                 ,TX ,KXDJ        ,98.3  MHz ,252,ND  ,C1 ,APP    ,BPH    -20140519AHY ,100.   kW ,100.   kW ,255,255,61684,N ,36,3,44,W ,101,1,56,1155.  m,1155.0 m,-         ,-       ,1234144,213.3  m,1643306
"HEARTLAND COMM. LICENSE, LLC                                                ",PARK FALLS               ,WI ,WCQM        ,98.3  MHz ,252,ND  ,C1 ,LIC    ,BLH    -20010315AAH ,100.   kW ,100.   kW ,134,134,48846,N ,45,52,56,W ,90,26,15,592.   m,592.0  m,30352,-       ,1204307,131.   m,556530
"LEGEND COMMUNICATIONS OF WYOMING, LLC                                       ",STORY                    ,WY ,KZZS        ,98.3  MHz ,252,ND  ,C1 ,LIC    ,BLH    -20120106AAK ,100.   kW ,100.   kW ,75.9,75.9,89085,N ,44,34,31.9,W ,106,52,21.7,1671.  m,1671.0 m,-         ,-       ,1236144,114.4  m,1481436
"WESTBURG BROADCASTING ALABAMA, LLC                                          ",LINDEN                   ,AL ,WINL        ,98.5  MHz ,253,ND  ,C1 ,LIC    ,BLH    -20130926BDF ,100.   kW ,100.   kW ,247,247,54538,N ,32,7,28,W ,87,44,0,317.   m,317.0  m,-         ,-       ,1043852,194.   m,1574089
"RADIO LICENSE HOLDING CBC, LLC                                              ",LITTLE ROCK              ,AR ,KURB        ,98.5  MHz ,253,ND  ,C0 ,LIC    ,BLH    -19880727KA  ,100.   kW ,100.   kW ,392,392,19559,N ,34,47,56,W ,92,29,44,518.   m,518.0  m,-         ,-       ,1014093,197.   m,115980
LINCOLN FINANCIAL MEDIA COMPANY OF COLORADO                                 ,DENVER                   ,CO ,KYGO-FM     ,98.5  MHz ,253,ND  ,C  ,LIC    ,BMLH   -20120731AEH ,100.   kW ,100.   kW ,555,555,30829,N ,39,40,35,W ,105,29,9,3302.  m,3302.0 m,-         ,-       ,-       ,47.    m,1510387
